subject_number,acc,prec,rec,f1
15,0.9517188103514871,0.8541197658712292,0.9738193018480493,0.9100503717917967
15,0.8644818423383526,0.7750969409737182,0.7661839863713799,0.7706146926536731
15,0.9509001636661211,0.9991308126901347,0.8556010420543357,0.9218123496391339
15,0.9570604833762728,0.9978641606151217,0.8713166728832525,0.9303066507367582
15,0.9302929180571005,0.8767471410419314,0.8834827144686299,0.8801020408163265
15,0.7379566563467492,0.989659629470056,0.5233538391433128,0.6846497764530551
15,0.9482694913166646,0.8287587054485867,0.9990123456790123,0.9059561128526646
15,0.8508239375542064,0.4861170439982913,0.9991220368744512,0.6540229885057471
15,0.908711714932666,0.7125140924464487,0.9994728518713759,0.8319438350153576
15,0.9726662599145821,1.0,0.9171903881700555,0.9568067875048207
15,0.9232930255282765,0.9586263963591228,0.8144112478031634,0.8806537438236413
15,0.7913563667439873,0.5522145469321414,0.6912512716174974,0.6139597921843235
15,0.8505173463177115,0.5105788423153692,0.9984387197501952,0.6756471209720022
15,0.8840455491612588,1.0,0.7214705882352941,0.8382026311293354
15,0.8455943722427567,0.661138333961553,0.815813953488372,0.7303768478034562
