subject_number,acc,prec,rec,f1
15,0.8538689326638341,0.6564610535794687,0.7967213114754098,0.719822266107134
15,0.8349993673288625,0.7854373115036622,0.693419551160137,0.7365656565656566
15,0.961979101095304,0.9991308126901347,0.8845709888418622,0.9383673469387754
15,0.9097043307569623,0.9624092268261427,0.7766287487073423,0.8595955742083174
15,0.8309232480533927,0.5213892418466751,0.8379850238257318,0.6428198433420366
15,0.9971517027863777,0.996984058595433,0.9931330472103004,0.9950548269189422
15,0.9066387486143613,0.6898811962310528,0.9994065281899109,0.816286960736791
15,0.801139883533639,0.5971806920119607,0.6786407766990291,0.6353101567825494
15,0.6508163508521034,0.3705373919579106,0.43998215082552433,0.4022847817217463
15,0.9360585723001831,0.9633212414349053,0.8466170740347149,0.9012066365007543
15,0.8739465005496518,0.7410012412081092,0.8152025489303596,0.7763328998699609
15,0.7818337199365157,0.60503860219423,0.6462673611111112,0.6249737670514166
15,0.7642118076688984,0.25788423153692613,0.8922651933701657,0.4001238773614122
15,0.8366597281743602,0.5483081940481044,0.856142584341184,0.6684890656063619
15,0.8502444258972219,0.83942706370147,0.7284919856068041,0.7800350262697022
