subject_number,acc,prec,rec,f1
15,0.8717651602935497,0.9293111211166142,0.7109886324491905,0.8056206088992975
15,0.8342401619638112,0.4674709177078845,0.9361518550474547,0.6235632183908045
15,0.9311343321163288,0.9482833550630161,0.8360153256704981,0.8886173895337
15,0.8466445834866887,0.5630072618539086,0.8530744336569579,0.6783324755532681
15,0.8621925596341614,0.7064803049555273,0.7980861244019138,0.7494944956189619
15,0.8631578947368421,0.9801809564842741,0.6823635272945411,0.8045977011494252
15,0.9366917108018229,0.8111429741909054,0.9739301524840138,0.8851139919535093
15,0.7972989716268121,0.3622383596753524,0.8557013118062563,0.5090036014405762
15,0.8245739482779169,0.4746335963923337,0.9446522064323112,0.631815907953977
15,0.8440512507626602,0.8419991938734381,0.7021848739495798,0.7657624633431085
15,0.9836325882496642,0.9942076954902772,0.9524375743162902,0.9728744939271254
15,0.8630203882309853,0.7724502234863877,0.7718229801055623,0.7721364744110479
15,0.8009738283627511,0.7429141716566866,0.6525245441795231,0.6947918611162963
15,0.8829435533243541,1.0,0.719565855089469,0.8369157284203343
15,0.854417550971742,0.7010931021485112,0.8129370629370629,0.7528840315725562
